,is F,Joined Group on,Last visited group on,Last Attended,Total RSVPs,RSVPed Yes,RSVPed Maybe,RSVPed No,Meetups attended,Intro,Photo,Assistant Organizer,Mailing List
0,,"July 10, 2017","May 25, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
1,,"July 22, 2017","July 22, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
2,,"July 12, 2017","February 28, 2018","March 2, 2018",2.0,2.0,0.0,0.0,2.0,No,No,No,Yes
3,,"February 22, 2018","March 1, 2018",,1.0,0.0,0.0,1.0,0.0,No,Yes,No,Yes
4,,"September 16, 2017","September 16, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
5,,"February 2, 2018","February 2, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
6,,"March 1, 2018","March 1, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
7,,"April 16, 2018","April 16, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
8,,"April 12, 2018","April 12, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
9,,"February 1, 2018","February 1, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
10,,"January 10, 2018","June 7, 2018","March 2, 2018",2.0,2.0,0.0,0.0,1.0,No,No,No,Yes
11,,"May 20, 2018","May 20, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
12,,"July 11, 2017","March 2, 2018","March 2, 2018",2.0,2.0,0.0,0.0,2.0,No,Yes,No,Yes
13,,"January 5, 2018","January 9, 2018",,1.0,0.0,0.0,1.0,0.0,No,Yes,No,Yes
14,1.0,"June 10, 2018","June 10, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
15,,"March 1, 2018","March 1, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
16,1.0,"February 14, 2018","March 1, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
17,,"September 12, 2017","June 6, 2018","March 2, 2018",3.0,3.0,0.0,0.0,2.0,No,Yes,No,Yes
18,1.0,"May 17, 2018","May 17, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
19,1.0,"June 6, 2018","June 19, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
20,1.0,"September 18, 2017","May 25, 2018","March 2, 2018",2.0,2.0,0.0,0.0,1.0,No,Yes,No,Yes
21,,"January 8, 2018","January 8, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
22,,"July 18, 2017","May 26, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
23,,"March 6, 2018","March 6, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
24,,"July 12, 2017","June 13, 2018","January 12, 2018",3.0,2.0,0.0,1.0,1.0,No,Yes,No,Yes
25,,"March 28, 2018","March 28, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
26,,"March 3, 2018","March 3, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
27,1.0,"June 3, 2018","June 12, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
28,1.0,"July 10, 2017","February 19, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
29,,"July 12, 2017","July 12, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
30,,"July 12, 2017","May 25, 2018","March 2, 2018",4.0,4.0,0.0,0.0,3.0,No,No,No,Yes
31,,"May 2, 2018","May 29, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
32,,"March 4, 2018","March 4, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
33,,"September 20, 2017","September 20, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
34,,"June 7, 2018","June 7, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
35,,"April 12, 2018","April 12, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
36,1.0,"January 6, 2018","January 6, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
37,1.0,"June 2, 2018","June 2, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
38,1.0,"June 17, 2018","June 18, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
39,1.0,"April 3, 2018","April 3, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
40,,"June 8, 2018","June 8, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
41,,"June 15, 2018","June 19, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
42,,"June 15, 2018","June 15, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
43,,"April 3, 2018","June 15, 2018",,1.0,0.0,0.0,1.0,0.0,No,No,No,Yes
44,1.0,"July 9, 2017","July 11, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
45,,"July 9, 2017","June 12, 2018","January 12, 2018",4.0,3.0,0.0,1.0,2.0,No,Yes,No,Yes
46,,"July 29, 2017","October 18, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
47,,"January 19, 2018","June 6, 2018","March 2, 2018",2.0,2.0,0.0,0.0,1.0,No,Yes,No,Yes
48,,"June 8, 2018","June 8, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
49,,"March 2, 2018","March 2, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
50,,"July 27, 2017","February 13, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
51,,"February 27, 2018","June 6, 2018",,2.0,0.0,0.0,2.0,0.0,No,Yes,No,Yes
52,,"July 9, 2017","July 9, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
53,,"January 11, 2018","May 27, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
54,,"December 18, 2017","December 18, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
55,1.0,"April 7, 2018","June 8, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
56,,"March 20, 2018","March 20, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
57,,"January 29, 2018","January 29, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
58,,"September 29, 2017","September 29, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
59,,"January 8, 2018","June 5, 2018","March 2, 2018",3.0,3.0,0.0,0.0,2.0,No,Yes,No,Yes
60,,"June 5, 2018","June 5, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
61,,"June 14, 2018","June 14, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
